127.0.0.1 - - [31/Mar/2021:23:43:51 +0530] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:43:53 +0530] "GET /Project1/ HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:44:09 +0530] "GET /Project1/ HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:44:09 +0530] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:44:56 +0530] "GET /Project1/ HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:44:58 +0530] "GET /Project1/ HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:44:59 +0530] "GET /Project1/ HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:45:13 +0530] "GET /Project1/ HTTP/1.1" 200 2890
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:45:19 +0530] "GET /Project1/ HTTP/1.1" 200 2890
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:46:17 +0530] "GET /Project1/ HTTP/1.1" 200 2890
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:46:28 +0530] "GET /Project1/ HTTP/1.1" 200 2890
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:46:29 +0530] "GET /Project1/ HTTP/1.1" 200 2890
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:46:33 +0530] "GET /Project1/ HTTP/1.1" 200 2890
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:46:34 +0530] "GET /Project1/ HTTP/1.1" 200 2890
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:46:35 +0530] "GET /Project1/ HTTP/1.1" 200 2890
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:46:35 +0530] "GET /Project1/ HTTP/1.1" 200 2890
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:46:36 +0530] "GET /Project1/ HTTP/1.1" 200 2890
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:46:46 +0530] "GET /Project1/ HTTP/1.1" 200 2902
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:46:50 +0530] "GET /Project1/ HTTP/1.1" 200 2902
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:47:25 +0530] "GET /Project1/ HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:47:29 +0530] "GET /Project1/ HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:53:40 +0530] "GET /Project1/ HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:53:48 +0530] "GET /Project1/ HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:56:21 +0530] "GET /Project1/ HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:56:57 +0530] "GET /Project1/ HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:56:58 +0530] "GET /Project1/ HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:59:04 +0530] "GET /Project1/ HTTP/1.1" 200 1542
0:0:0:0:0:0:0:1 - - [31/Mar/2021:23:59:27 +0530] "POST /Project1/LoginServlet HTTP/1.1" 200 596
