127.0.0.1 - - [24/Apr/2021:15:34:42 +0530] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [24/Apr/2021:15:34:44 +0530] "GET /Project1/ HTTP/1.1" 200 3230
0:0:0:0:0:0:0:1 - - [24/Apr/2021:15:34:55 +0530] "GET /Project1/ HTTP/1.1" 200 3230
0:0:0:0:0:0:0:1 - - [24/Apr/2021:15:34:57 +0530] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [24/Apr/2021:15:35:11 +0530] "POST /Project1/validateLogin.jsp HTTP/1.1" 200 7864
0:0:0:0:0:0:0:1 - - [24/Apr/2021:15:35:11 +0530] "GET /Project1/icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2021:15:35:21 +0530] "GET /Project1/report.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [24/Apr/2021:15:35:55 +0530] "GET /Project1/report.jsp HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [24/Apr/2021:15:36:27 +0530] "GET /Project1/report.jsp HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [24/Apr/2021:15:37:38 +0530] "GET /Project1/report.jsp HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [24/Apr/2021:15:37:53 +0530] "GET /Project1/report.jsp HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [24/Apr/2021:15:44:44 +0530] "GET /Project1/report.jsp HTTP/1.1" 200 1084
0:0:0:0:0:0:0:1 - - [24/Apr/2021:15:46:37 +0530] "GET /Project1/report.jsp HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [24/Apr/2021:15:47:27 +0530] "GET /Project1/report.jsp HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [24/Apr/2021:15:49:27 +0530] "GET /Project1/report.jsp HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [24/Apr/2021:15:50:26 +0530] "GET /Project1/report.jsp HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [24/Apr/2021:15:50:28 +0530] "GET /Project1/report.jsp HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [24/Apr/2021:15:50:51 +0530] "GET /Project1/report.jsp HTTP/1.1" 200 1416
