127.0.0.1 - - [28/May/2021:18:17:52 +0530] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [28/May/2021:18:17:57 +0530] "GET /Project1/ HTTP/1.1" 200 8525
0:0:0:0:0:0:0:1 - - [28/May/2021:18:18:07 +0530] "GET /Project1/ HTTP/1.1" 200 8525
0:0:0:0:0:0:0:1 - - [28/May/2021:18:18:08 +0530] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [28/May/2021:18:18:16 +0530] "POST /Project1/validateLogin.jsp HTTP/1.1" 200 16062
0:0:0:0:0:0:0:1 - - [28/May/2021:18:18:21 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 18783
0:0:0:0:0:0:0:1 - - [28/May/2021:18:18:28 +0530] "POST /Project1/add9.jsp HTTP/1.1" 200 6210
0:0:0:0:0:0:0:1 - - [28/May/2021:18:40:46 +0530] "POST /Project1/add9.jsp HTTP/1.1" 200 6210
0:0:0:0:0:0:0:1 - - [28/May/2021:18:42:39 +0530] "POST /Project1/login.jsp HTTP/1.1" 200 8578
0:0:0:0:0:0:0:1 - - [28/May/2021:18:42:42 +0530] "POST /Project1/validateLogin.jsp HTTP/1.1" 200 16062
0:0:0:0:0:0:0:1 - - [28/May/2021:18:42:46 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 18783
0:0:0:0:0:0:0:1 - - [28/May/2021:18:42:50 +0530] "POST /Project1/add9.jsp HTTP/1.1" 200 6210
0:0:0:0:0:0:0:1 - - [28/May/2021:18:43:27 +0530] "POST /Project1/add9.jsp HTTP/1.1" 200 6211
0:0:0:0:0:0:0:1 - - [28/May/2021:18:43:44 +0530] "POST /Project1/add9.jsp HTTP/1.1" 200 6210
0:0:0:0:0:0:0:1 - - [28/May/2021:18:45:47 +0530] "POST /Project1/add9.jsp HTTP/1.1" 200 6210
0:0:0:0:0:0:0:1 - - [28/May/2021:18:50:14 +0530] "POST /Project1/add9.jsp HTTP/1.1" 200 6210
0:0:0:0:0:0:0:1 - - [28/May/2021:18:50:59 +0530] "POST /Project1/add9.jsp HTTP/1.1" 200 6210
0:0:0:0:0:0:0:1 - - [28/May/2021:18:54:29 +0530] "POST /Project1/add9.jsp HTTP/1.1" 200 6247
0:0:0:0:0:0:0:1 - - [28/May/2021:18:54:49 +0530] "POST /Project1/add9.jsp HTTP/1.1" 200 6252
0:0:0:0:0:0:0:1 - - [28/May/2021:18:56:09 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 18871
0:0:0:0:0:0:0:1 - - [28/May/2021:18:57:53 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 18954
0:0:0:0:0:0:0:1 - - [28/May/2021:18:58:44 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 18785
0:0:0:0:0:0:0:1 - - [28/May/2021:18:58:48 +0530] "POST /Project1/add9.jsp HTTP/1.1" 200 6789
0:0:0:0:0:0:0:1 - - [28/May/2021:18:59:57 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 18833
0:0:0:0:0:0:0:1 - - [28/May/2021:19:04:08 +0530] "POST /Project1/add9.jsp HTTP/1.1" 200 6791
0:0:0:0:0:0:0:1 - - [28/May/2021:19:05:58 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 18833
0:0:0:0:0:0:0:1 - - [28/May/2021:19:16:04 +0530] "POST /Project1/add9.jsp HTTP/1.1" 200 6791
0:0:0:0:0:0:0:1 - - [28/May/2021:19:16:13 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 18825
0:0:0:0:0:0:0:1 - - [28/May/2021:19:25:08 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 18777
0:0:0:0:0:0:0:1 - - [28/May/2021:19:32:22 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 19253
0:0:0:0:0:0:0:1 - - [28/May/2021:19:33:25 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 19261
0:0:0:0:0:0:0:1 - - [28/May/2021:19:33:33 +0530] "POST /Project1/add9.jsp HTTP/1.1" 200 6791
0:0:0:0:0:0:0:1 - - [28/May/2021:19:33:44 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 19546
0:0:0:0:0:0:0:1 - - [28/May/2021:19:33:53 +0530] "POST /Project1/upd9.jsp HTTP/1.1" 200 6601
