127.0.0.1 - - [06/Jun/2021:09:45:30 +0530] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [06/Jun/2021:09:45:32 +0530] "GET /Project1/ HTTP/1.1" 200 8525
0:0:0:0:0:0:0:1 - - [06/Jun/2021:09:45:43 +0530] "GET /Project1/ HTTP/1.1" 200 8525
0:0:0:0:0:0:0:1 - - [06/Jun/2021:09:45:44 +0530] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [06/Jun/2021:09:45:50 +0530] "POST /Project1/validateLogin.jsp HTTP/1.1" 200 16519
0:0:0:0:0:0:0:1 - - [06/Jun/2021:09:45:54 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 21909
0:0:0:0:0:0:0:1 - - [06/Jun/2021:09:46:00 +0530] "POST /Project1/add10.jsp HTTP/1.1" 200 12252
0:0:0:0:0:0:0:1 - - [06/Jun/2021:09:46:00 +0530] "GET /Project1/Add.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2021:09:47:42 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 23324
0:0:0:0:0:0:0:1 - - [06/Jun/2021:09:47:55 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:41:16 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:41:32 +0530] "GET /Project1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:41:32 +0530] "GET /Project1/ HTTP/1.1" 200 8579
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:41:36 +0530] "POST /Project1/validateLogin.jsp HTTP/1.1" 200 16519
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:41:39 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 23276
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:41:43 +0530] "POST /Project1/add10.jsp HTTP/1.1" 200 12252
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:41:50 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 99804
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:49:45 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 22878
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:49:54 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 24033
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:51:06 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 24032
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:52:10 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 24084
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:52:25 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 24086
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:53:11 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 24082
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:53:17 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 24136
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:53:37 +0530] "GET /Project1/ HTTP/1.1" 200 8525
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:53:43 +0530] "GET /Project1/ HTTP/1.1" 200 8525
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:53:48 +0530] "POST /Project1/validateLogin.jsp HTTP/1.1" 200 16519
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:53:52 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 22781
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:53:56 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 24082
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:54:06 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 24136
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:54:23 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 24136
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:56:09 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 22970
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:56:10 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 21800
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:56:11 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 20630
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:56:12 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 19459
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:56:14 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 18289
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:56:17 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 17125
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:56:18 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 15954
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:56:23 +0530] "POST /Project1/home.jsp HTTP/1.1" 200 21487
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:56:28 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 15899
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:58:21 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 15899
0:0:0:0:0:0:0:1 - - [06/Jun/2021:10:58:26 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 15953
0:0:0:0:0:0:0:1 - - [06/Jun/2021:11:02:51 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 15953
0:0:0:0:0:0:0:1 - - [06/Jun/2021:11:02:54 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 15953
0:0:0:0:0:0:0:1 - - [06/Jun/2021:11:03:00 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 15953
0:0:0:0:0:0:0:1 - - [06/Jun/2021:11:03:47 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 15953
0:0:0:0:0:0:0:1 - - [06/Jun/2021:11:03:52 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 15953
0:0:0:0:0:0:0:1 - - [06/Jun/2021:11:04:25 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 15965
0:0:0:0:0:0:0:1 - - [06/Jun/2021:11:04:34 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 15965
0:0:0:0:0:0:0:1 - - [06/Jun/2021:11:05:25 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 15953
0:0:0:0:0:0:0:1 - - [06/Jun/2021:11:05:32 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 15956
0:0:0:0:0:0:0:1 - - [06/Jun/2021:11:05:39 +0530] "POST /Project1/upd10.jsp HTTP/1.1" 200 15962
